0.08;1;0.09;97;;
ch130.tsp;6110;6250;2.29133;;
d198.tsp;15780;16048;1.69835;;
eil76.tsp;538;545;1.30112;;18.14565
fl1577.tsp;22249;31488;41.5255;;
kroA100.tsp;21282;21282;0;;
lin318.tsp;42029;46335;10.2453;;
pcb442.tsp;50778;60487;19.1205;;
pr439.tsp;107217;127938;19.3262;;
rat783.tsp;8806;13068;48.3988;;
u1060.tsp;224094;308240;37.5494;;
0.08;1;0.09;97
ch130.tsp;6110;6250;2.29133
d198.tsp;15780;16048;1.69835
eil76.tsp;538;559;3.90335
fl1577.tsp;22249;32429;45.7549
kroA100.tsp;21282;21882;2.81928
lin318.tsp;42029;47149;12.1821
pcb442.tsp;50778;58509;15.2251
pr439.tsp;107217;128022;19.4046
rat783.tsp;8806;13415;52.3393
u1060.tsp;224094;303664;35.5074
0.08;1;0.09;97
kroA100.tsp;21282;21764;2.26482
kroA100.tsp;21282;22027;3.50061
kroA100.tsp;21282;21492;0.986749
0.08;1;0.09;97
kroA100.tsp;21282;22391;5.21098
kroA100.tsp;21282;22003;3.38784
kroA100.tsp;21282;21446;0.770604
0.08;1;0.09;97
kroA100.tsp;21282;21768;2.28362
0.08;1;0.09;97
kroA100.tsp;21282;21882;2.81928
0.08;1;0.09;97
kroA100.tsp;21282;21764;2.26482
0.08;1;0.09;97
kroA100.tsp;21282;21387;0.493375
0.08;1;0.09;97
kroA100.tsp;21282;21711;2.01579
0.08;1;0.09;97
kroA100.tsp;21282;22064;3.67447
0.08;1;0.09;97
kroA100.tsp;21282;22083;3.76374
kroA100.tsp;21282;21446;0.770604
0.08;1;0.09;97
kroA100.tsp;21282;21768;2.28362
0.08;1;0.09;97
kroA100.tsp;21282;21584;1.41904
0.08;1;0.09;97
kroA100.tsp;21282;21668;1.81374
0.08;1;0.09;97
kroA100.tsp;21282;21379;0.455784
0.08;1;0.09;97
kroA100.tsp;21282;21388;0.498073
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
kroA100.tsp;21282;22211;4.36519
0.08;1;0.09;97
kroA100.tsp;21282;21765;2.26952
0.08;1;0.09;97
0.08;1;0.09;97
kroA100.tsp;21282;21389;0.502772
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
kroA100.tsp;21282;21379;0.455784
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
kroA100.tsp;21282;21389;0.502772
0.08;1;0.09;97
kroA100.tsp;21282;21668;1.81374
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
kroA100.tsp;21282;21389;0.502772
0.08;1;0.09;97
kroA100.tsp;21282;21282;0
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
0.08;1;0.09;97
93
